parameter,Estimate,Naive SE,Robust SE,95%L,95%H,t value,pvalue,feature,qvalue,neg_log10_pvalue,neg_log10_qvalue
disease,-0.46889468108660587,0.1226601838507167,0.16235133016652517,-0.7887955077329887,-0.14899385444022314,-2.8881480712579104,0.0042482350012897,Bin 158,0.011895058003611158,2.371791467223088,1.924633435880869
disease,0.38132447476797804,0.16920561083170338,0.13443199712597698,0.11643654952453429,0.6462124000114218,2.836560364498913,0.0049706525130889,Bin 50,0.013689665937687464,2.3035865963304927,1.863607149615397
disease,0.4276930153201323,0.17024583492338477,0.1513462608398071,0.1294768325341161,0.7259091981061486,2.8259238976034258,0.0051328460828182,Bin 155,0.013908357127636413,2.289641758607921,1.8567241663803118
disease,-0.19623616726656776,0.0639260611344934,0.07097881393334568,-0.33609446857131925,-0.056377865961816265,-2.764714657684305,0.0061634252677912,Bin 76,0.016435800714109865,2.2101778655188498,1.7842091332465688
disease,-0.3646454292941283,0.12376190075340564,0.132395935710651,-0.6255214518990319,-0.10376940668922469,-2.7542041025417467,0.0063581795286953,Bin 24,0.01664530439677857,2.196667213567998,1.7787082583846063
disease,0.4489588909022639,0.2434354189411609,0.16326564963935597,0.12725646795927276,0.7706613138452552,2.749867420942416,0.0064401475344679,Bin 113,0.01664530439677857,2.1911041834676137,1.7787082583846063
disease,0.2163216203903586,0.08134935613996806,0.07921778169564232,0.06022906590660213,0.3724141748741151,2.730720499363064,0.0068136036730648,Bin 10,0.017146275707611878,2.166623131643812,1.7658301972118873
disease,-0.8628371975314358,0.21857875756519843,0.3161156943725871,-1.485718893923824,-0.2399555011390477,-2.729498132776856,0.0068380980500595,Bin 143,0.017146275707611878,2.165064676236924,1.7658301972118873
disease,-0.3890386225605885,0.1758712646832818,0.14453655826236847,-0.6738368094391849,-0.10424043568199219,-2.691627829233281,0.0076375365858842,Bin 147,0.018869208035713906,2.117046696355338,1.7242463273357114
disease,-0.43825828842759257,0.15065812845567153,0.16374117314807468,-0.7608976939217759,-0.11561888293340909,-2.676530771104627,0.007979077302328,Bin 154,0.019427318649146437,2.09804732740569,1.7115871364170823
disease,0.3193297312267051,0.13593449274202432,0.12093532917578502,0.08103595356313985,0.5576235088902705,2.6404999548357355,0.0088504811359513,Bin 162,0.02124115472628312,2.0530331192446694,1.6728218775330632
disease,0.2721404550562633,0.1195259708017819,0.10352163287091222,0.06815902849683737,0.4761218816156892,2.628826917709197,0.0091506198946089,Bin 45,0.02165217101822951,2.038549484328201,1.664498551321413
disease,-0.5253168383789204,0.14137089881383516,0.20968623186328025,-0.9384874532462276,-0.11214622351161313,-2.5052519362427086,0.0129354034702979,Bin 37,0.030182608097361768,1.888220020585534,1.5202432352909394
disease,0.1544769265245615,0.0668426504335431,0.062488008123011654,0.031349105929969354,0.2776047471191536,2.47210514728624,0.0141634684188194,Bin 153,0.03236809430420433,1.8488303814836609,1.4898828692576533
disease,0.09520370527820687,0.0480410477093813,0.0385490516362135,0.019245759801505936,0.1711616507549078,2.4696769761456654,0.01425737487209,Bin 16,0.03236809430420433,1.84596043125254,1.4898828692576533
disease,0.17938429297312475,0.0860347618611571,0.07372736579616601,0.034110181326106236,0.3246584046201433,2.4330761181549385,0.0157413663579497,Bin 2,0.03522005098948715,1.802957573376996,1.4532100196226638
disease,0.2605629754839964,0.12355322376848818,0.10729035599350464,0.04915556946950819,0.4719703814984846,2.42857778848055,0.0159328802095299,Bin 150,0.03522005098948715,1.7977057090677353,1.4532100196226638
