parameter,Estimate,Naive SE,Robust SE,95%L,95%H,t value,pvalue,feature,fold_change,qvalue,neg_log10_pvalue,neg_log10_qvalue
adenoma,-253.0166407665503,95.38433025524806,61.35609285203574,-373.7347239298549,-132.29855760324574,-4.123741082678074,4.770019751479735e-05,Bin 2209,-0.4824050897585424,0.1044634325574062,4.321479822649425,0.9810357078093068
adenoma,-20.038424891063887,9.217512272339496,5.720947614906297,-31.294386570609667,-8.782463211518104,-3.502640863001871,0.0005270742600967157,Bin 1392,-0.5009585580530257,0.5771463148059037,3.2781281922291994,0.23871407305306208
adenoma,-1.8598715616021768,1.0919616700221202,0.5641673318126381,-2.969870515479795,-0.7498726077245585,-3.296666532651781,0.0010897822642598,Bin 2164,-0.9999999999999999,0.6540225355819586,2.9626602643313213,0.1844072869811257
adenoma,-148.75145010408377,54.98608436306659,46.0995848186726,-239.45236105281091,-58.05053915535659,-3.2267416439688223,0.0013833532275611,Bin 162,-0.21509545181531828,0.6540225355819586,2.8590669123030774,0.1844072869811257
adenoma,-0.9057878704877752,0.5819265822680967,0.3006552118467572,-1.497326855128215,-0.314248885847335,-3.012713017426259,0.0027984664257027,Bin 382,-1.0,0.6540225355819586,2.5530798991269203,0.1844072869811257
adenoma,-3.0969618609472187,1.7555855632360111,1.084178772401035,-5.230083073965513,-0.9638406479289244,-2.856504794028249,0.0045671204260686,Bin 452,-0.7820317277876183,0.6540225355819586,2.340357536742565,0.1844072869811257
adenoma,-44.250745686070005,22.376126433051905,16.000846391932726,-75.73240326297531,-12.769088109164702,-2.765525310484841,0.0060172836322796,Bin 714,-0.34934550658968083,0.6540225355819586,2.2205995170058093,0.1844072869811257
adenoma,-68.3841585667144,30.96909056411148,24.747685733386884,-117.0752183391621,-19.693098794266703,-2.763254685849592,0.0060582939923931,Bin 2361,-0.5579636433602971,0.6540225355819586,2.2176496553715963,0.1844072869811257
adenoma,-115.12299995960012,63.250051675167065,41.77957136436589,-197.3242865156654,-32.921713403534824,-2.7554854250560687,0.0062005374337058,Bin 1911,-0.471275986467381,0.6540225355819586,2.20757066624734,0.1844072869811257
adenoma,-0.9847631371904472,0.699292781938546,0.3612930323223852,-1.6956070044392249,-0.2739192699416692,-2.7256632403354333,0.0067750221344291,Bin 539,-1.0000000000000002,0.6540225355819586,2.169089281583488,0.1844072869811257
adenoma,-0.8192521449712635,0.586696852056315,0.3041720751525682,-1.4177105564736567,-0.2207937334688703,-2.693383817565563,0.0074506333026021,Bin 2450,-0.9688436071755092,0.6540225355819586,2.1278068107233894,0.1844072869811257
adenoma,98.19288446030914,23.901339803709085,37.59504061997468,24.22466013033804,172.16110879028025,2.611857384405594,0.0094350975285791,Bin 161,0.5935715049191487,0.6540225355819586,2.0252536062669546,0.1844072869811257
adenoma,-202.0476711892547,90.02851817979104,78.7362245582877,-356.9611551217087,-47.13418725680066,-2.566133597626092,0.0107445694208187,Bin 749,-0.11527459951156882,0.6540225355819586,1.9688109837936922,0.1844072869811257
adenoma,-0.8005836824167939,0.6041851210931833,0.3121551946792544,-1.414748877746657,-0.1864184870869306,-2.564697612158623,0.0107882035026162,Bin 2295,-1.0000000000000013,0.6540225355819586,1.967050869854511,0.1844072869811257
adenoma,-17.195113611072905,8.602250302359293,6.857584861218861,-30.68740852581616,-3.702818696329652,-2.507459106822728,0.0126615606029515,Bin 163,-0.3967677378543241,0.6540225355819586,1.8975127619742902,0.1844072869811257
adenoma,-0.565612095010909,0.4372182474398181,0.2267483818221761,-1.0117394271401745,-0.1194847628816437,-2.494448209356932,0.0131257812511895,Bin 474,-0.9649716190448291,0.6540225355819586,1.8818748377899708,0.1844072869811257
adenoma,-0.7961613653843832,0.6190979823451714,0.3198599973048385,-1.4254857561727174,-0.1668369745960488,-2.489093266094202,0.0133211941081825,Bin 656,-1.0000000000000007,0.6540225355819586,1.875456843382653,0.1844072869811257
adenoma,-4.699669957702425,2.68415026555561,1.8995339859713372,-8.437002161090977,-0.9623377543138738,-2.474117332151456,0.0138814823294206,Bin 2249,-0.5296023939685095,0.6540225355819586,1.8575641554147186,0.1844072869811257
adenoma,-1.6593447769659424,1.304547644408997,0.6740009141106377,-2.985441251165597,-0.3332483027662876,-2.461932531880157,0.0143526688801587,Bin 991,-1.0000000000000004,0.6540225355819586,1.8430673343199824,0.1844072869811257
adenoma,-0.6617467340048512,0.5272733006874617,0.2724183268986559,-1.1977296610968118,-0.1257638069128905,-2.429156443101685,0.0156911842954184,Bin 1316,-0.9999999999999971,0.6540225355819586,1.8043442767091136,0.1844072869811257
adenoma,-0.8248055198910782,0.6584118700414017,0.3401717094589058,-1.4940931945690328,-0.1555178452131237,-2.424674060059419,0.0158825618617159,Bin 2430,-0.9999999999999992,0.6540225355819586,1.799079444435985,0.1844072869811257
adenoma,-0.2690850028397142,0.2181018272756142,0.1126833746417596,-0.4907894882268474,-0.047380517452581,-2.3879743014014534,0.0175286123942204,Bin 2469,-1.0,0.6540225355819586,1.756252462308104,0.1844072869811257
adenoma,-0.3800438777912437,0.3086023470208997,0.161732546711633,-0.6982525856245712,-0.0618351699579163,-2.3498293047277428,0.0193969676423479,Bin 1660,-0.9307546200667863,0.6540225355819586,1.7122661586846928,0.1844072869811257
adenoma,6.20671924544224,2.3810131501159977,2.65339432011744,0.9861671973606888,11.427271293523791,2.33916203045446,0.0199497979143896,Bin 965,0.5502171785136962,0.6540225355819586,1.7000614992308662,0.1844072869811257
adenoma,-18.03408603365044,14.877059888603268,7.720254641132094,-33.22368332527704,-2.8444887420238434,-2.335944456749931,0.0201192389445354,Bin 2099,-0.9067752523724434,0.6540225355819586,1.6963884514709806,0.1844072869811257
adenoma,-0.6042139419362706,0.5065505464565276,0.2617118146801101,-1.1191318113899582,-0.0892960724825829,-2.308699523843813,0.0216052858171927,Bin 1052,-1.0,0.6540225355819586,1.6654399840156269,0.1844072869811257
adenoma,17.589478958283735,8.158656147818544,7.683103127589613,2.472977251675557,32.70598066489191,2.2893717116878016,0.0227168966917285,Bin 255,0.26121461362685644,0.6540225355819586,1.6436509969799629,0.1844072869811257
adenoma,-26.227566340486348,18.24582270546729,11.64257752115338,-49.13433201122742,-3.3208006697452745,-2.252728512465004,0.0249620257824252,Bin 333,-0.4163107007224333,0.6540225355819586,1.6027201725782152,0.1844072869811257
adenoma,-1.626482788040229,1.291377865844994,0.7226995046537213,-3.048393715700811,-0.2045718603796471,-2.2505657988786805,0.0251003696022872,Bin 874,-0.8489183188003853,0.6540225355819586,1.6003198834969687,0.1844072869811257
adenoma,-0.3420192155814086,0.2949077984271105,0.1523655548880137,-0.6417983715089364,-0.0422400596538809,-2.244727923137137,0.0254771398515143,Bin 2268,-0.999999999999999,0.6540225355819586,1.5938493289436697,0.1844072869811257
