parameter,Estimate,Naive SE,Robust SE,95%L,95%H,t value,pvalue,feature,qvalue,neg_log10_pvalue,neg_log10_qvalue
batch_1,0.6432374419260615,0.06848306973813949,0.07020360853146265,0.5052114565646049,0.7812634272875181,9.162455540127771,2.955346922949191e-18,Bin 131,9.929965661109282e-16,17.529391530728958,15.003052253339114
batch_1,-0.6690485805628558,0.07175575153295063,0.07800723212262506,-0.822417122497845,-0.5156800386278665,-8.576750672439335,2.345024597496621e-16,Bin 16,3.9396413237943235e-14,15.629852597511361,13.404543315785498
batch_1,-0.8734454473202686,0.09440917427142864,0.10388540042920982,-1.077692565935048,-0.6691983287054897,-8.407778607114837,7.997123214759961e-16,Bin 115,8.956778000531157e-14,15.097066212588702,13.04784818991852
batch_1,-0.3402956391896332,0.04813323923245822,0.05096073669212247,-0.4404885786098853,-0.2401026997693808,-6.677604392682103,8.406317006951652e-11,Bin 122,7.061306285839388e-09,10.075394236532116,8.151114950470234
batch_1,1.0941529315622016,0.16724248145438184,0.16575013188524113,0.7682747358993848,1.4200311272250188,6.601219070641526,1.338827462191393e-10,Bin 160,8.996920545926162e-09,9.873275387921774,8.045906114867948
batch_1,-0.40535973083425136,0.0612623932523117,0.06376879252013805,-0.5307343462852181,-0.2799851153832846,-6.356710152638372,5.77811302438625e-10,Bin 82,3.2357432936563e-08,9.238213967270779,7.490025940264578
batch_1,-0.9144721267117446,0.1376619580366581,0.14837626638418083,-1.2061918944036325,-0.6227523590198565,-6.163196776659432,1.7836749674159201e-09,Bin 30,8.20478536762622e-08,8.748684282649608,7.085932775351262
batch_1,0.9499878158181533,0.15837757460461763,0.1545354840701801,0.6461585268644806,1.253817104771826,6.147376581722356,1.9535203256252904e-09,Bin 83,8.20478536762622e-08,8.709182065749163,7.085932775351262
batch_1,1.317140382923155,0.24659646535762958,0.2406087604802871,0.8440840550991127,1.790196710747197,5.474199610579297,7.894411351192042e-08,Bin 63,2.788109517767617e-06,7.102680247727888,5.554690171023099
batch_1,0.8953018343803434,0.1641917369330978,0.16383419675817046,0.5731905224908018,1.2174131462698847,5.46468229524673,8.297944993356003e-08,Bin 36,2.788109517767617e-06,7.081029448412943,5.554690171023099
batch_1,0.7298978545472142,0.13778030783698583,0.13602336338337837,0.46246489553120973,0.9973308135632186,5.365974170848987,1.385923537122122e-07,Bin 5,4.233366440663936e-06,6.858260729552466,5.373314137320847
batch_1,0.43506651159838455,0.08141728538809284,0.08245900182502504,0.2729454295500099,0.5971875936467591,5.276155446576708,2.195884173221916e-07,Bin 33,6.148475685021366e-06,6.658390571442904,5.211232540100685
batch_1,-0.9223085275907233,0.16173047952998887,0.1784948232435533,-1.273243819600238,-0.5713732355812089,-5.167144406940297,3.806543939919719e-07,Bin 152,8.970368224825621e-06,6.419469152668376,5.04718972922708
batch_1,-0.9073906941221441,0.16104908873385068,0.17578362062365208,-1.2529955419998768,-0.5617858462444115,-5.161975222167274,3.906251414794534e-07,Bin 168,8.970368224825621e-06,6.408239808015889,5.04718972922708
batch_1,0.7761169639480944,0.14950109403618156,0.1506119065703991,0.4800017464200607,1.072232181476128,5.153091688573249,4.083543896564199e-07,Bin 91,8.970368224825621e-06,6.388962771547711,5.04718972922708
batch_1,1.1336915794161009,0.22894533371720632,0.22039364328371022,0.7003798107197334,1.5670033481124683,5.14393955526527,4.274339802720284e-07,Bin 39,8.970368224825621e-06,6.36913095512931,5.04718972922708
batch_1,0.9901047168612556,0.19697650670092431,0.19293151192918218,0.610785724599389,1.369423709123122,5.131897360679397,4.538579161370106e-07,Bin 138,8.970368224825621e-06,6.34308008523865,5.04718972922708
batch_1,1.137112510098223,0.2352252748407168,0.23006381709866253,0.6847883957782372,1.5894366244182083,4.9425960346062325,1.1479360219747212e-06,Bin 144,2.1428139076861463e-05,5.9400823158384,4.669015543551862
batch_1,-0.3878840680289852,0.0750762180391568,0.07966420528431571,-0.544510353520808,-0.23125778253716237,-4.868988106322725,1.6341432020528275e-06,Bin 11,2.824040440827028e-05,5.786709888356673,4.5491290883913855
batch_1,1.2248097024655034,0.2717738405846343,0.25198050891820906,0.7293955953725599,1.7202238095584466,4.8607319182098605,1.6997149120709647e-06,Bin 27,2.824040440827028e-05,5.769623915384766,4.5491290883913855
batch_1,0.9179492709495777,0.19143325556541022,0.18915834994800065,0.5460486210104931,1.2898499208886622,4.852808618820796,1.7650252755168925e-06,Bin 140,2.824040440827028e-05,5.7532490710473105,4.5491290883913855
batch_1,0.8635164107370381,0.18160175991101488,0.17941110455683695,0.5107796353881371,1.2162531860859391,4.813059999100995,2.1309306989150035e-06,Bin 79,3.254512340161096e-05,5.67143067396867,4.487514077401032
